trial_id,run_block,within_block,condition_repeat,model_id,model_role,checkpoint,towel_id,color,towel_shape,pretrain_exposure,hil_exposure,test_regime,layout_id,layout_dx_mm,layout_dy_mm,layout_yaw_deg,executed_steps_m,runtime_config_id,trial_valid,invalid_reason,rerun_of,autonomous_success,correct_both_corner_grasp,lift_success,fold_success,full_task_success,fold_corner_error_mm,task_time_s,intervention_or_abort,failure_stage,failure_mode,episode_path,human_verified,notes
TS021,2,6,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS022,2,7,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS023,2,8,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS024,2,9,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS025,2,10,2,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS026,2,11,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS027,2,12,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS028,2,13,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS029,2,14,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS030,2,15,2,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS031,3,1,3,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS032,3,2,3,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS033,3,3,3,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS034,3,4,3,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS035,3,5,3,scratch20k,scratch20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_hil/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS036,3,6,3,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS037,3,7,3,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS038,3,8,3,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS039,3,9,3,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS040,3,10,3,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS041,3,11,3,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS042,3,12,3,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS043,3,13,3,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS044,3,14,3,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS045,3,15,3,base20k,blue_square_pretrain_only,/home/alpha/lerobot_train/outputs/pick_corner_orbbec_150/checkpoints/020000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS046,4,1,4,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-yellow-unseen-square,yellow,square,no,no,unseen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS047,4,2,4,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-white-unseen-rectangle,white,rectangle,no,no,unseen_rectangle,C,0,0,0,,,,,,,,,,,,,,,,,,
TS048,4,3,4,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-blue-pretrain-square,blue,square,yes,no,pretrain_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS049,4,4,4,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-red-hil-square,red,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
TS050,4,5,4,finetune10k,finetune_from_base20k_on_hil101,/home/alpha/lerobot_train/outputs/pick_corner_finetune/checkpoints/010000/pretrained_model,T-green-hil-square,green,square,no,yes,hil_seen_square,C,0,0,0,,,,,,,,,,,,,,,,,,
